ticks,new,recycled,waste
0,100,0,0
1,97.95918367,0,2.040816327
2,96.16326531,0,3.836734694
3,95.18367347,0,4.816326531
4,93.3877551,0,6.612244898
5,91.91836735,0,8.081632653
6,90.53061224,0,9.469387755
7,89.2244898,0,10.7755102
8,87.67346939,0,12.32653061
9,87.02040816,0,12.97959184
10,86.44897959,0,13.55102041
11,85.87755102,0,14.12244898
12,84.89795918,0,15.10204082
13,84.81632653,0,15.18367347
14,84.48979592,0,15.51020408
15,84.32653061,0,15.67346939
16,83.02040816,0,16.97959184
17,82.85714286,0,17.14285714
18,82.7755102,0,17.2244898
19,82.7755102,0,17.2244898
20,81.79591837,0,18.20408163
21,82.04081633,0,17.95918367
22,82.04081633,0,17.95918367
23,81.87755102,0,18.12244898
24,80.57142857,0,19.42857143
25,80.16326531,0,19.83673469
26,79.83673469,0,20.16326531
27,80.16326531,0,19.83673469
28,79.42857143,0,20.57142857
29,79.10204082,0,20.89795918
30,79.59183673,0,20.40816327
31,79.51020408,0,20.48979592
32,78.04081633,0,21.95918367
33,77.63265306,0,22.36734694
34,77.55102041,0,22.44897959
35,77.71428571,0,22.28571429
36,76.73469388,0,23.26530612
37,76.65306122,0,23.34693878
38,76.48979592,0,23.51020408
39,76.65306122,0,23.34693878
40,75.83673469,0,24.16326531
41,76,0,24
42,76.16326531,0,23.83673469
43,76.57142857,0,23.42857143
44,75.67346939,0,24.32653061
45,75.59183673,0,24.40816327
46,75.34693878,0,24.65306122
47,75.59183673,0,24.40816327
48,74.85714286,0,25.14285714
49,74.69387755,0,25.30612245
50,74.53061224,0,25.46938776
51,74.69387755,0,25.30612245
52,74.20408163,0,25.79591837
53,74.04081633,0,25.95918367
54,74.20408163,0,25.79591837
55,74.36734694,0,25.63265306
56,73.3877551,0,26.6122449
57,72.97959184,0,27.02040816
58,72.89795918,0,27.10204082
59,73.2244898,0,26.7755102
60,72.08163265,0,27.91836735
61,72,0,28
62,72.16326531,0,27.83673469
63,72.16326531,0,27.83673469
64,71.02040816,0,28.97959184
65,71.26530612,0,28.73469388
66,71.26530612,0,28.73469388
67,71.18367347,0,28.81632653
68,70.6122449,0,29.3877551
