"ticks","new","recycled","waste"
0,100,0,0
1,98.04081632653062,0,1.9591836734693877
2,96.24489795918367,0,3.7551020408163263
3,94.77551020408164,0,5.224489795918368
4,93.22448979591836,0,6.775510204081632
5,91.83673469387756,0,8.16326530612245
6,90.36734693877551,0,9.63265306122449
7,89.22448979591837,0,10.775510204081632
8,88.16326530612245,0,11.83673469387755
9,87.6734693877551,0,12.326530612244897
10,87.18367346938776,0,12.816326530612246
11,86.93877551020408,0,13.061224489795919
12,85.79591836734693,0,14.204081632653063
13,85.55102040816327,0,14.448979591836736
14,84.89795918367346,0,15.10204081632653
15,84.9795918367347,0,15.020408163265305
16,83.83673469387755,0,16.163265306122447
17,83.26530612244898,0,16.73469387755102
18,82.85714285714286,0,17.142857142857142
19,82.93877551020408,0,17.06122448979592
20,81.79591836734694,0,18.20408163265306
21,81.55102040816327,0,18.448979591836732
22,81.46938775510205,0,18.53061224489796
23,81.38775510204081,0,18.612244897959187
24,80.24489795918367,0,19.75510204081633
25,79.91836734693878,0,20.081632653061224
26,80.16326530612244,0,19.83673469387755
27,80.24489795918367,0,19.75510204081633
28,79.26530612244898,0,20.73469387755102
29,78.85714285714286,0,21.142857142857142
30,78.85714285714286,0,21.142857142857142
31,78.93877551020408,0,21.06122448979592
32,78.28571428571428,0,21.714285714285715
33,77.63265306122449,0,22.36734693877551
34,77.55102040816327,0,22.448979591836736
35,77.79591836734694,0,22.20408163265306
36,77.38775510204081,0,22.612244897959183
37,77.22448979591837,0,22.775510204081634
38,77.14285714285715,0,22.857142857142858
39,77.22448979591837,0,22.775510204081634
40,76.65306122448979,0,23.346938775510203
41,76.48979591836735,0,23.51020408163265
42,76.24489795918367,0,23.755102040816325
43,76.40816326530611,0,23.591836734693878
44,75.51020408163265,0,24.489795918367346
45,75.34693877551021,0,24.653061224489793
46,75.0204081632653,0,24.979591836734695
47,75.18367346938776,0,24.816326530612244
48,74.61224489795917,0,25.387755102040817
49,74.85714285714286,0,25.142857142857146
50,75.0204081632653,0,24.979591836734695
51,74.85714285714286,0,25.142857142857146
52,74.12244897959184,0,25.877551020408163
53,73.79591836734693,0,26.204081632653057
54,73.79591836734693,0,26.204081632653057
55,73.55102040816327,0,26.448979591836736
56,72.81632653061224,0,27.183673469387752
57,72.73469387755101,0,27.26530612244898
58,72.57142857142857,0,27.42857142857143
59,72.3265306122449,0,27.6734693877551
60,71.51020408163265,0,28.489795918367346
61,71.18367346938776,0,28.816326530612248
62,70.77551020408164,0,29.22448979591837
63,70.85714285714285,0,29.142857142857142
64,70.20408163265306,0,29.795918367346943
65,70.36734693877551,0,29.632653061224488
66,70.28571428571428,0,29.714285714285715
67,70.20408163265306,0,29.795918367346943
68,69.63265306122449,0,30.36734693877551
69,69.71428571428572,0,30.28571428571429
70,69.55102040816327,0,30.448979591836732
71,69.79591836734694,0,30.20408163265306
72,68.48979591836735,0,31.510204081632654
73,68.40816326530611,0,31.591836734693878
74,68.40816326530611,0,31.591836734693878
75,68.57142857142857,0,31.428571428571427
76,68,0,32
77,67.75510204081633,0,32.244897959183675
78,67.83673469387756,0,32.163265306122454
79,68.08163265306122,0,31.918367346938776
80,67.59183673469387,0,32.40816326530612
81,67.51020408163265,0,32.48979591836735
82,67.83673469387756,0,32.163265306122454
83,67.83673469387756,0,32.163265306122454
84,67.3469387755102,0,32.6530612244898
85,66.61224489795919,0,33.38775510204081
86,66.61224489795919,0,33.38775510204081
87,66.36734693877551,0,33.63265306122449
88,65.46938775510203,0,34.53061224489796
89,65.38775510204081,0,34.61224489795918
90,65.79591836734694,0,34.20408163265306
91,65.71428571428571,0,34.285714285714285
92,65.06122448979592,0,34.93877551020408
93,64.89795918367346,0,35.10204081632653
94,64.89795918367346,0,35.10204081632653
95,64.81632653061224,0,35.183673469387756
96,64.16326530612245,0,35.83673469387755
97,64,0,36
98,63.91836734693877,0,36.08163265306123
99,63.91836734693877,0,36.08163265306123
100,62.77551020408163,0,37.22448979591837
101,63.183673469387756,0,36.816326530612244
102,63.59183673469387,0,36.40816326530612
103,63.59183673469387,0,36.40816326530612
104,62.53061224489795,0,37.46938775510204
105,62.12244897959184,0,37.87755102040816
106,62.61224489795918,0,37.38775510204081
107,62.53061224489795,0,37.46938775510204
108,61.55102040816327,0,38.44897959183673
109,61.224489795918366,0,38.775510204081634
110,61.224489795918366,0,38.775510204081634
111,61.06122448979592,0,38.93877551020408
112,60.16326530612245,0,39.83673469387755
113,60.16326530612245,0,39.83673469387755
114,60.244897959183675,0,39.755102040816325
115,60.244897959183675,0,39.755102040816325
116,59.51020408163266,0,40.48979591836735
117,59.265306122448976,0,40.734693877551024
118,59.3469387755102,0,40.6530612244898
119,59.75510204081632,0,40.244897959183675
120,58.77551020408164,0,41.224489795918366
121,58.77551020408164,0,41.224489795918366
122,58.77551020408164,0,41.224489795918366
123,59.183673469387756,0,40.816326530612244
124,58.693877551020414,0,41.30612244897959
125,58.04081632653061,0,41.95918367346938
126,58.12244897959184,0,41.87755102040816
127,58.20408163265306,0,41.79591836734694
128,57.14285714285714,0,42.857142857142854
129,56.97959183673469,0,43.02040816326531
130,57.30612244897959,0,42.69387755102041
131,57.79591836734694,0,42.204081632653065
132,57.06122448979591,0,42.93877551020408
133,56.81632653061225,0,43.183673469387756
134,56.81632653061225,0,43.183673469387756
135,56.81632653061225,0,43.183673469387756
136,56.24489795918367,0,43.755102040816325
137,56.40816326530612,0,43.59183673469388
138,56.48979591836735,0,43.51020408163265
139,57.06122448979591,0,42.93877551020408
140,56.48979591836735,0,43.51020408163265
141,56.24489795918367,0,43.755102040816325
142,56.08163265306122,0,43.91836734693877
143,56.24489795918367,0,43.755102040816325
144,55.3469387755102,0,44.6530612244898
145,55.59183673469388,0,44.40816326530612
146,55.59183673469388,0,44.40816326530612
147,55.673469387755105,0,44.326530612244895
148,55.3469387755102,0,44.6530612244898
149,55.265306122448976,0,44.73469387755102
150,55.18367346938775,0,44.816326530612244
151,55.42857142857143,0,44.57142857142857
152,54.93877551020409,0,45.06122448979592
153,55.02040816326531,0,44.97959183673469
154,55.59183673469388,0,44.40816326530612
155,55.91836734693878,0,44.08163265306123
156,55.265306122448976,0,44.73469387755102
157,54.775510204081634,0,45.224489795918366
158,55.18367346938775,0,44.816326530612244
159,55.265306122448976,0,44.73469387755102
160,54.61224489795919,0,45.38775510204081
161,54.285714285714285,0,45.714285714285715
162,54.285714285714285,0,45.714285714285715
163,54.775510204081634,0,45.224489795918366
164,54.44897959183673,0,45.55102040816327
165,54.20408163265306,0,45.795918367346935
166,54.20408163265306,0,45.795918367346935
167,54.93877551020409,0,45.06122448979592
168,54.69387755102041,0,45.30612244897959
169,54.69387755102041,0,45.30612244897959
170,55.02040816326531,0,44.97959183673469
171,54.85714285714286,0,45.14285714285714
172,55.02040816326531,0,44.97959183673469
173,54.85714285714286,0,45.14285714285714
174,55.10204081632652,0,44.89795918367347
175,55.59183673469388,0,44.40816326530612
176,55.51020408163265,0,44.48979591836735
177,55.59183673469388,0,44.40816326530612
178,55.91836734693878,0,44.08163265306123
179,55.59183673469388,0,44.40816326530612
180,54.53061224489796,0,45.46938775510204
181,55.02040816326531,0,44.97959183673469
182,55.10204081632652,0,44.89795918367347
183,55.02040816326531,0,44.97959183673469
184,54.61224489795919,0,45.38775510204081
185,54.53061224489796,0,45.46938775510204
186,54.61224489795919,0,45.38775510204081
