"ticks","recyclers","wastefuls"
0,50,25
1,50,25
2,50,25
3,50,25
4,50,25
5,50,25
6,50,25
7,50,25
8,50,25
9,50,25
10,50,25
11,50,25
12,50,25
13,50,25
14,50,25
15,50,25
16,50,25
17,50,25
18,50,25
19,50,25
20,50,25
21,50,25
22,50,25
23,50,25
24,50,25
25,50,25
26,50,25
27,50,25
28,50,25
29,50,25
30,50,25
31,50,25
32,50,25
33,50,25
34,50,25
35,50,25
36,50,25
37,50,25
38,50,25
39,50,25
40,50,25
41,50,25
42,50,25
43,50,25
44,50,25
45,50,25
46,50,25
47,50,25
48,50,25
49,50,25
50,50,25
51,50,25
52,50,25
53,50,25
54,50,25
55,50,25
56,50,25
57,50,25
58,50,25
59,50,25
60,50,25
61,50,25
62,50,25
63,50,25
64,50,25
65,50,25
66,50,25
67,50,25
68,50,25
69,50,25
70,50,25
71,50,25
72,50,25
73,50,25
74,50,25
75,50,25
76,50,25
77,50,25
78,50,25
79,50,25
80,50,25
81,50,25
82,50,25
83,50,25
84,50,25
85,50,25
86,50,25
87,50,25
88,50,25
89,50,25
90,50,25
91,50,25
92,50,25
93,50,25
94,50,25
95,50,25
96,50,25
97,50,25
98,50,25
99,50,25
100,50,25
101,50,25
102,50,25
103,50,25
104,50,25
105,50,25
106,50,25
107,50,25
108,50,25
109,50,25
110,50,25
111,50,25
112,50,25
113,50,25
114,50,25
115,50,25
116,50,25
117,50,25
118,50,25
119,50,25
120,50,25
121,50,25
122,50,25
123,50,25
124,50,25
125,50,25
126,50,25
127,50,25
128,50,25
129,50,25
130,50,25
131,50,25
132,50,25
133,50,25
134,50,25
135,50,25
136,50,25
137,50,25
138,50,25
139,50,25
140,50,25
141,50,25
142,50,25
143,50,25
144,50,25
145,50,25
146,50,25
147,50,25
148,50,25
149,50,25
150,50,25
151,50,25
152,50,25
153,50,25
154,50,25
155,50,25
156,50,25
157,50,25
158,50,25
159,50,25
160,50,25
161,50,25
162,50,25
163,50,25
164,50,25
165,50,25
166,50,25
167,50,25
168,50,25
169,50,25
170,50,25
171,50,25
172,50,25
173,50,25
174,50,25
175,50,25
176,50,25
177,50,25
178,50,25
179,50,25
180,50,25
181,50,25
182,50,25
183,50,25
184,50,25
185,50,25
186,50,25
187,50,25
188,50,25
189,50,25
190,50,25
191,50,25
192,50,25
193,50,25
194,50,25
195,50,25
196,50,25
197,50,25
198,50,25
199,50,25
200,50,25
201,50,25
202,50,25
203,50,25
204,50,25
205,50,25
206,50,25
207,50,25
208,50,25
209,50,25
210,50,25
211,50,25
212,50,25
213,50,25
214,50,25
215,50,25
216,50,25
217,50,25
218,50,25
219,50,25
220,50,25
221,50,25
222,50,25
223,50,25
224,50,25
225,50,25
226,50,25
227,50,25
228,50,25
229,50,25
230,50,25
231,50,25
232,50,25
233,50,25
234,50,25
235,50,25
236,50,25
237,50,25
238,50,25
239,50,25
240,50,25
241,50,25
242,50,25
243,50,25
244,50,25
245,50,25
246,50,25
247,50,25
248,50,25
249,50,25
250,50,25
251,50,25
252,50,25
253,50,25
254,50,25
255,50,25
256,50,25
257,50,25
258,50,25
259,50,25
260,50,25
261,50,25
262,50,25
263,50,25
264,50,25
265,50,25
266,50,25
267,50,25
268,50,25
269,50,25
270,50,25
271,50,25
272,50,25
273,50,25
274,50,25
275,50,25
276,50,25
277,50,25
278,50,25
279,50,25
280,50,25
281,50,25
282,50,25
283,50,25
284,50,25
285,50,25
286,50,25
287,50,25
288,50,25
289,50,25
290,50,25
291,50,25
292,50,25
293,50,25
294,50,25
295,50,25
296,50,25
297,50,25
298,50,25
299,50,25
300,50,25
301,50,25
302,50,25
303,50,25
304,50,25
305,50,25
306,50,25
307,50,25
308,50,25
309,50,25
310,50,25
311,50,25
312,50,25
313,50,25
314,50,25
315,50,25
316,50,25
317,50,25
318,50,25
319,50,25
320,50,25
321,50,25
322,50,25
323,50,25
324,50,25
325,50,25
326,50,25
327,50,25
328,50,25
329,50,25
330,50,25
331,50,25
332,50,25
333,50,25
334,50,25
335,50,25
336,50,25
337,50,25
338,50,25
339,50,25
340,50,25
341,50,25
342,50,25
343,50,25
344,50,25
345,50,25
346,50,25
347,50,25
348,50,25
349,50,25
350,50,25
351,50,25
352,50,25
353,50,25
354,50,25
355,50,25
356,50,25
357,50,25
358,50,25
359,50,25
360,50,25
361,50,25
362,50,25
363,50,25
364,50,25
365,50,25
366,50,25
367,50,25
368,50,25
369,50,25
370,50,25
371,50,25
372,50,25
373,50,25
374,50,25
375,50,25
376,50,25
377,50,25
378,50,25
379,50,25
380,50,25
381,50,25
382,50,25
383,50,25
384,50,25
385,50,25
386,50,25
387,50,25
388,50,25
389,50,25
390,50,25
391,50,25
392,50,25
393,50,25
394,50,25
395,50,25
396,50,25
397,50,25
398,50,25
399,50,25
400,50,25
401,50,25
402,50,25
403,50,25
404,50,25
405,50,25
406,50,25
407,50,25
408,50,25
409,50,25
410,50,25
411,50,25
412,50,25
413,50,25
414,50,25
415,50,25
416,50,25
417,50,25
418,50,25
419,50,25
420,50,25
421,50,25
422,50,25
423,50,25
424,50,25
425,50,25
426,50,25
427,50,25
428,50,25
429,50,25
430,50,25
431,50,25
432,50,25
433,50,25
434,50,25
435,50,25
436,50,25
437,50,25
438,50,25
439,50,25
440,50,25
441,50,25
442,50,25
443,50,25
444,50,25
445,50,25
446,50,25
447,50,25
448,50,25
449,50,25
450,50,25
451,50,25
452,50,25
453,50,25
454,50,25
455,50,25
456,50,25
457,50,25
458,50,25
459,50,25
460,50,25
461,50,25
462,50,25
463,50,25
464,50,25
465,50,25
466,50,25
467,50,25
468,50,25
469,50,25
470,50,25
471,50,25
472,50,25
473,50,25
474,50,25
475,50,25
476,50,25
477,50,25
478,50,25
479,50,25
480,50,25
481,50,25
482,50,25
483,50,25
484,50,25
485,50,25
486,50,25
487,50,25
488,50,25
489,50,25
490,50,25
491,50,25
492,50,25
493,50,25
494,50,25
495,50,25
496,50,25
497,50,25
498,50,25
499,50,25
500,50,25
501,50,25
502,50,25
503,50,25
504,50,25
505,50,25
506,50,25
507,50,25
508,50,25
509,50,25
510,50,25
511,50,25
512,50,25
513,50,25
514,50,25
515,50,25
516,50,25
517,50,25
518,50,25
519,50,25
520,50,25
521,50,25
522,50,25
523,50,25
524,50,25
525,50,25
526,50,25
527,50,25
528,50,25
529,50,25
530,50,25
531,50,25
532,50,25
533,50,25
534,50,25
535,50,25
536,50,25
537,50,25
538,50,25
539,50,25
540,50,25
541,50,25
542,50,25
543,50,25
544,50,25
545,50,25
546,50,25
547,50,25
548,50,25
549,50,25
550,50,25
551,50,25
552,50,25
553,50,25
554,50,25
555,50,25
556,50,25
557,50,25
558,50,25
559,50,25
560,50,25
561,50,25
562,50,25
563,50,25
564,50,25
565,50,25
566,50,25
567,50,25
568,50,25
569,50,25
570,50,25
571,50,25
572,50,25
573,50,25
574,50,25
575,50,25
576,50,25
577,50,25
578,50,25
579,50,25
580,50,25
581,50,25
582,50,25
583,50,25
584,50,25
585,50,25
586,50,25
587,50,25
588,50,25
589,50,25
590,50,25
591,50,25
592,50,25
593,50,25
594,50,25
595,50,25
596,50,25
597,50,25
598,50,25
599,50,25
600,50,25
601,50,25
602,50,25
603,50,25
604,50,25
605,50,25
606,50,25
607,50,25
608,50,25
609,50,25
610,50,25
611,50,25
612,50,25
613,50,25
614,50,25
615,50,25
616,50,25
617,50,25
618,50,25
619,50,25
620,50,25
621,50,25
622,50,25
623,50,25
624,50,25
625,50,25
626,50,25
627,50,25
628,50,25
629,50,25
630,50,25
631,50,25
632,50,25
633,50,25
634,50,25
635,50,25
636,50,25
637,50,25
638,50,25
639,50,25
640,50,25
641,50,25
642,50,25
643,50,25
644,50,25
645,50,25
646,50,25
647,50,25
648,50,25
649,50,25
650,50,25
651,50,25
652,50,25
653,50,25
654,50,25
655,50,25
656,50,25
657,50,25
658,50,25
659,50,25
660,50,25
661,50,25
662,50,25
663,50,25
664,50,25
665,50,25
666,50,25
667,50,25
668,50,25
669,50,25
670,50,25
671,50,25
672,50,25
673,50,25
674,50,25
675,50,25
676,50,25
677,50,25
678,50,25
679,50,25
680,50,25
681,50,25
682,50,25
683,50,25
684,50,25
685,50,25
686,50,25
687,50,25
688,50,25
689,50,25
690,50,25
691,50,25
692,50,25
693,50,25
694,50,25
695,50,25
696,50,25
697,50,25
698,50,25
699,50,25
700,50,25
701,50,25
702,50,25
703,50,25
704,50,25
705,50,25
706,50,25
707,50,25
708,50,25
709,50,25
710,50,25
711,50,25
712,50,25
713,50,25
714,50,25
715,50,25
716,50,25
717,50,25
718,50,25
719,50,25
720,50,25
721,50,25
722,50,25
723,50,25
724,50,25
725,50,25
726,50,25
727,50,25
728,50,25
729,50,25
730,50,25
731,50,25
732,50,25
733,50,25
734,50,25
735,50,25
736,50,25
737,50,25
738,50,25
739,50,25
740,50,25
741,50,25
742,50,25
743,50,25
744,50,25
745,50,25
746,50,25
747,50,25
748,50,25
749,50,25
750,50,25
751,50,25
752,50,25
753,50,25
754,50,25
755,50,25
756,50,25
757,50,25
758,50,25
759,50,25
760,50,25
761,50,25
762,50,25
763,50,25
764,50,25
765,50,25
766,50,25
767,50,25
768,50,25
769,50,25
770,50,25
771,50,25
772,50,25
773,50,25
774,50,25
775,50,25
776,50,25
777,50,25
778,50,25
779,50,25
780,50,25
781,50,25
782,50,25
783,50,25
784,50,25
785,50,25
786,50,25
787,50,25
788,50,25
789,50,25
790,50,25
791,50,25
792,50,25
793,50,25
794,50,25
795,50,25
796,50,25
797,50,25
798,50,25
799,50,25
800,50,25
801,50,25
802,50,25
803,50,25
804,50,25
805,50,25
806,50,25
807,50,25
808,50,25
809,50,25
810,50,25
811,50,25
812,50,25
813,50,25
814,50,25
815,50,25
816,50,25
817,50,25
818,50,25
819,50,25
820,50,25
821,50,25
822,50,25
823,50,25
824,50,25
825,50,25
826,50,25
827,50,25
828,50,25
829,50,25
830,50,25
831,50,25
832,50,25
833,50,25
834,50,25
835,50,25
836,50,25
837,50,25
838,50,25
839,50,25
840,50,25
841,50,25
842,50,25
843,50,25
844,50,25
845,50,25
846,50,25
847,50,25
848,50,25
849,50,25
850,50,25
851,50,25
852,50,25
853,50,25
854,50,25
855,50,25
856,50,25
857,50,25
858,50,25
859,50,25
860,50,25
861,50,25
862,50,25
863,50,25
864,50,25
865,50,25
866,50,25
867,50,25
868,50,25
869,50,25
870,50,25
871,50,25
872,50,25
873,50,25
874,50,25
875,50,25
876,50,25
877,50,25
878,50,25
879,50,25
880,50,25
881,50,25
882,50,25
883,50,25
884,50,25
885,50,25
886,50,25
887,50,25
888,50,25
889,50,25
890,50,25
891,50,25
892,50,25
893,50,25
894,50,25
895,50,25
896,50,25
897,50,25
898,50,25
899,50,25
900,50,25
901,50,25
902,50,25
903,50,25
904,50,25
905,50,25
906,50,25
907,50,25
908,50,25
909,50,25
910,50,25
911,50,25
912,50,25
913,50,25
914,50,25
915,50,25
916,50,25
917,50,25
918,50,25
919,50,25
920,50,25
921,50,25
922,50,25
923,50,25
924,50,25
925,50,25
926,50,25
927,50,25
928,50,25
929,50,25
930,50,25
931,50,25
932,50,25
933,50,25
934,50,25
935,50,25
936,50,25
937,50,25
938,50,25
939,50,25
940,50,25
941,50,25
942,50,25
943,50,25
944,50,25
945,50,25
946,50,25
947,50,25
948,50,25
949,50,25
950,50,25
951,50,25
952,50,25
953,50,25
954,50,25
955,50,25
956,50,25
957,50,25
958,50,25
959,50,25
960,50,25
961,50,25
962,50,25
963,50,25
964,50,25
965,50,25
966,50,25
967,50,25
968,50,25
969,50,25
970,50,25
971,50,25
972,50,25
973,50,25
974,50,25
975,50,25
976,50,25
977,50,25
978,50,25
979,50,25
980,50,25
981,50,25
982,50,25
983,50,25
984,50,25
985,50,25
986,50,25
987,50,25
988,50,25
989,50,25
990,50,25
991,50,25
992,50,25
993,50,25
994,50,25
995,50,25
996,50,25
997,50,25
