"","sim","n_sim","recyclers","wastefuls","new","recycled","waste"
"1","6",5022,0,16.0219036240542,68.3911930363543,0,31.6088069636457
"2","7",5007,0,17.5204713401238,64.9928793566558,0,35.0071206433442
"3","8",5001,0,15.5672865426915,69.226334324943,0,30.7736656750566
"4","9",5015,0,17.1986041874377,65.443734103811,0,34.556265896189
"5","10",5189,0,17.1838504528811,65.9549675333614,0,34.0450324666386
"6","Total",25234,0,16.7019497503368,66.7956514776734,0,33.2043485223265
