"","sim","n_sim","recyclers","wastefuls","new","recycled","waste"
"1","1",5197,0,3.9484337844395,9.87587254062528,0,9.87587254062528
"2","2",5038,0,4.06256350811046,9.83171553734408,0,9.83171553734408
"3","3",5911,0,3.74352994968956,8.59718196498857,0,8.59718196498857
"4","4",5069,0,4.30534514881326,9.7079820834093,0,9.7079820834093
"5","5",5058,0,4.91550432302829,13.0901545317427,0,13.0901545317427
"6","Total",26273,0,4.2658678934068,10.5645440581689,0,10.5645440581689
