"","sim","n_sim","recyclers","wastefuls","new","recycled","waste"
"1","6",5022,0,2.71120737118183,4.65910023432384,0,4.65910023432384
"2","7",5007,0,3.38876818884417,6.24788246894929,0,6.24788246894929
"3","8",5001,0,3.10011638744046,5.2784663817183,0,5.27846638171979
"4","9",5015,0,3.51786681987363,6.81862645773247,0,6.81862645773247
"5","10",5189,0,2.82012150897029,5.52829784900486,0,5.52829784900486
"6","Total",25234,0,3.2119377903952,5.99485327206879,0,5.99485327206908
